渠道,产品名称,品牌,产品大类,重量(克),商品价¥,含税价¥,克单价¥/g,500g单价¥,20支成本¥
nov,PS400 Luxury Navy Flake (Bulk),Peter Stokkebye,烟斗丝,226.8,217.2121,325.82,1.44,720.0,20.78
nov,PS400 Luxury Navy Flake (Bulk),Peter Stokkebye,烟斗丝,453.6,415.7517,623.63,1.37,685.0,19.94
nov,PS400 Luxury Navy Flake (Bulk),Peter Stokkebye,烟斗丝,680.4,598.0632,897.09,1.32,660.0,19.34
nov,Old Joe Krantz (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Old Joe Krantz (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Old Joe Krantz (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Old Joe Krantz (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Old Joe Krantz (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Epiphany (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Epiphany (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Epiphany (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Epiphany (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Epiphany (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Autumn Evening (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Autumn Evening (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Autumn Evening (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Autumn Evening (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Autumn Evening (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Haunted Bookshop (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Haunted Bookshop (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Haunted Bookshop (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Haunted Bookshop (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Haunted Bookshop (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Exclusive (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Exclusive (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Exclusive (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Exclusive (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Exclusive (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Odessa (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Odessa (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Odessa (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Odessa (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Odessa (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
nov,Super Balkan (Bulk),Cornell & Diehl,烟斗丝,28.3,29.5365,44.3,1.57,785.0,22.34
nov,Super Balkan (Bulk),Cornell & Diehl,烟斗丝,56.7,57.3755,86.06,1.52,760.0,21.74
nov,Super Balkan (Bulk),Cornell & Diehl,烟斗丝,113.4,108.3005,162.45,1.43,715.0,20.66
nov,Super Balkan (Bulk),Cornell & Diehl,烟斗丝,226.8,203.3605,305.04,1.34,670.0,19.58
nov,Super Balkan (Bulk),Cornell & Diehl,烟斗丝,453.6,375.1475,562.72,1.24,620.0,18.38
