品牌,覆盖渠道,产品大类,产品数,最低价(¥),最高价(¥),均价(¥),均价($),最小重量(g),最大重量(g)
中华/,花店,成品烟,2,29.48,49.14,39.31,5.79,,
中南海/,花店,成品烟,5,23.4,24.8,24.24,3.57,,
丰收,huasheng,烟丝 | 耗材,10,1.92,80.23,36.96,5.44,40.0,100.0
丹,huasheng,烟丝,13,100.76,324.53,194.52,28.65,50.0,250.0
云斯顿,huasheng,成品烟 | 耗材,4,346.98,364.34,351.32,51.74,,
伊尔斯特德,huasheng,烟丝,1,148.23,148.23,148.23,21.83,100.0,100.0
切斯特菲尔德,huasheng,成品烟,5,263.65,371.7,285.26,42.01,,
切格瓦拉,huasheng,烟丝,4,35.34,35.34,35.34,5.2,40.0,40.0
加热烟套餐/,花店,套餐,1,435.24,435.24,435.24,64.14,,
华云,huasheng,烟斗丝,1,153.49,153.49,153.49,22.61,50.0,50.0
双喜/DoubleHappiness,花店,成品烟,5,17.78,22.0,20.31,2.99,,
史丹利,huasheng | pipeuncle,烟丝 | 耗材,21,15.44,29.0,28.08,4.14,30.0,30.0
喇叭手,pipeuncle,烟丝,7,39.0,336.0,166.29,24.49,18.4,170.0
多明戈,huasheng,耗材,1,16.91,16.91,16.91,2.49,,
大江户刻/,花店,烟丝,1,77.22,77.22,77.22,11.38,30.0,30.0
天鹅,huasheng,耗材,1,2.68,2.68,2.68,0.39,,
奥尔德,pipeuncle,烟丝,4,50.0,50.0,50.0,7.36,30.0,30.0
奥斯丁,huasheng,烟丝,2,41.05,41.05,41.05,6.05,50.0,50.0
好味,huasheng,烟丝 | 烟斗丝,8,12.73,12.73,12.73,1.87,15.0,15.0
宝船/,花店,烟丝,2,27.61,27.61,27.61,4.07,20.0,20.0
小皇家,huasheng,烟丝 | 烟斗丝,7,14.77,14.77,14.77,2.18,20.0,20.0
小粹/,花店,烟丝,1,28.08,28.08,28.08,4.14,10.0,10.0
小骏马,huasheng,烟丝,5,27.14,27.14,27.14,4.0,40.0,40.0
巴厘丝,pipeuncle,烟丝,8,48.0,48.0,48.0,7.07,40.0,40.0
巴西精神,huasheng,烟丝,2,84.53,84.53,84.53,12.45,50.0,50.0
帆船,huasheng,烟丝,3,50.88,50.88,50.88,7.49,50.0,50.0
康奈尔和迪尔,huasheng,烟丝,7,124.2,124.2,124.2,18.29,57.0,57.0
彼得森,huasheng,烟斗丝,22,49.76,175.77,99.73,14.69,40.0,50.0
手卷,huasheng | pipeuncle,套餐 | 烟丝,2,530.0,1155.0,842.5,124.08,18.4,18.4
拉森,huasheng,烟丝 | 烟斗丝,5,170.32,185.35,173.33,25.53,100.0,100.0
拉特雷,huasheng,烟斗丝,9,0.01,176.55,142.84,21.04,50.0,100.0
斯坦威尔,huasheng,烟斗丝,1,39.49,39.49,39.49,5.82,50.0,50.0
松风/,花店,烟丝,1,38.84,38.84,38.84,5.72,30.0,30.0
极限,huasheng,耗材,2,13.46,13.46,13.46,1.98,,
查卡姆,huasheng,烟丝,1,78.12,78.12,78.12,11.51,50.0,50.0
梅维乌斯,huasheng,成品烟,9,347.9,349.16,348.18,51.28,,
水手,huasheng,烟丝,1,60.78,60.78,60.78,8.95,50.0,50.0
浅鼓,huasheng,烟丝,1,58.5,58.5,58.5,8.62,50.0,50.0
海马/ウルマ,花店,成品烟,1,24.8,24.8,24.8,3.66,,
