渠道,产品名称,品牌,口味,不加税价格(¥),单包含税价(¥),美元价格($),毛重(g),运费(¥),价格/500g(¥),平摊运费(¥/包),平摊运费后烟丝成本/20支,20支成品烟价(¥),规格(g),库存,分类
nov,Bayou Morning (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Bayou Morning (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Star of the East (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Star of the East (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Star of the East (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Star of the East (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Star of the East (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Dark Fired Kentucky (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Dark Fired Kentucky (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Dark Fired Kentucky (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Dark Fired Kentucky (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Dark Fired Kentucky (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Old Joe Krantz Blue Label (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Old Joe Krantz Blue Label (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Old Joe Krantz Blue Label (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Old Joe Krantz Blue Label (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Old Joe Krantz Blue Label (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Bayou Night (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Bayou Night (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Bayou Night (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Bayou Night (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Bayou Night (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Billy Budd (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Billy Budd (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Billy Budd (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Billy Budd (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Billy Budd (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Byzantium (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Byzantium (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Byzantium (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Byzantium (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Byzantium (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Old Joe Krantz White Label (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Old Joe Krantz White Label (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Old Joe Krantz White Label (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Old Joe Krantz White Label (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Old Joe Krantz White Label (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,PS403 Luxury Bullseye Flake (1oz / 28g),Peter Stokkebye,,,,5.9500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
